No,Tgl_Nomor,Pasal_yang_Disangkakan
1,2025-08-28 SPDP/63/VIII/RES.1.24/2025/Reskrim,Pasal 82 Undang-Undang Nomor 17 Tahun 2016 tentang penetapan Pepu Nomor 1 Tahun 2016 tentang Perubahan kedua atas Undang-Undang Nomor 23 Tahun 2002 tentang Perlindungan Anak
2,2025-09-02 B/SPDP/65/IX/RES.1.8/Reskrim,Pasal 365 KUHP Jo Pasal 55 ayat (1) ke-1 KUHP dan/atau pasal 368 KUHP jo pasal 55 ayat (1) ke-1 KUHP
3,2025-09-02 B/SPDP/64/IX/RES.1.8/Reskrim,Pasal 365 KUHP dan/atau pasal 368 KUHP
4,2025-09-06 B/SPDP/66/IX/ RES 1.24./2025/RESKRIM,Pasa 67 ayat (1) Jo Pasal 65 ayat (1) dan/atau PasaL 67 ayat (3) Jo Pasa 65 ayat (3) Undang-Undang Repub k lndonesia Nomor 27 Tahun 2022 tentang Per ndungan Data Pribadi
5,2025-09-07 B/SPDP/67/IX/RES.1.8/2025/Satreskrim,Pasal 363 Ayat (1) ke-5e KUHP
6,2025-09-08 SPDP/24/IX/RES.4.2/2025/Resnarkoba,Pasal 114 ayat (1) atau Pasal 112 ayat (1) atau Pasal 127 ayal (1) huruf (a) UU Rl Nomor 35 Tahun 2009 tentang Narkotika
7,2025-09-08 SPDP/68/IX/RES.1.24/2025/Reskrim,Pasal 82 Undang-Undang Nomor 17 Tahun 2016 tentang penerapan Perpu Nomor 1 Tahun 2016 tentang Perubahan kedua atas Undang-Undang Nomor 23 Tahun 2002 tentang Pedindungan Anak
8,2025-09-10 B/SPDP/69/IX/RES.1.24./2025/RESKRIM,Pasal 372 KUHP dan/atau Pasal 36 Jo Pasal 23 ayat (2) Undang - Undang Republik Indonesia Nomor 42 Tahun 1999 tentang jaminan Fidusia
9,2025-09-10 B/SPDP/70/IX/RES.1.24/2025/Reskrim,Pasal 55 UU RI No. 22 Tahun 2021 tentang Minyak dan Gas Bumi sebagaimana telah diubah dengan Pasal 40 angka 9 UU RI No. 6 Tahun 2023 tentang Penetapan Peraturan Pemerintah Pengganti UU No. 2 Tahun 2022 tentang Cipta Kerja menjadi UU dan/atau Pasal 62 ayat (1) Jo Pasal 8 huruf a dan/atau huruf b UU No. 8 Tahun 1999 tentang Perlindungan Konsumen dan/atau Pasal 32 ayat (2) Jo Pasal 30 dan/atau Pasal 31 UU No. 2 Tahun 1981 tentang Metrologi Legal
10,2025-09-15 B/SPDP/71/lX/RES.1.11./2025/Reskrim,Pasal 374 KUHP dan/atau 372 KUHP
11,2025-09-17 SPDP/72/I/RES.1.24/2025/Reskrim,Pasal 81 Undang-Undang Nomor 17 Tahun 2016 tentang penetapan Perpu Nomor 1 Tahun 2016 tentang Perubahan kedua atas Undang-Undang Nomor 23 Tahun 2002 tentang Perlindungan Anak
12,2025-09-19 B/SPDP/73/IX/RES.1 .8./2025/Reskrim,Pasal 363 Ayat (1) ke-4e KUHP
13,2025-09-24 SPDP/25/IX/RES.4.2/2025/Resnarkoba,Pasal 114 ayat (2) atau Pasal 112 ayat (2) UU Rl Nomor 35 Tahun 2009 tentang Narkotika
14,2025-09-24 B/SPDP/77/IX/RES.1.11./2025/Reskrim,Pasal 374 KUHP dan/atau 372 KUHP
15,2025-09-21 B/SPDP/76/IX/RES.1.6./2025/Satreskrirn,Pasal 351 Ayat (3) KUHPidana
16,2025-09-24 B/SPDP/75/IX/RES.1 .8./2025/Reskrim,Pasal 362 KUHP
